DISPOSITIF,PORTEUR,EP_PORTEUR,ISOLANT,EP_ISOLANT,REVETEMENT_INT,EP_RI,REVETEMENT_EXT,EP_RE
CHA_T_P1_TZINC,STRUCTURE BOIS,0,NON,0,NON,0,COUVERTURE ZINC,1
HAB_T_P1_TBO_BO,STRUCTURE BOIS,0,NON,0,NON,0,BOIS,1
HAB_T_P1_TBR_TC,STRUCTURE BOIS,0,NON,0,NON,0,TUILE CANAL,2
HAB_T_P1_TBR_TM,STRUCTURE BOIS,0,NON,0,NON,0,TUILE MECANIQUE,2
HAB_T_P1_TBR_TP,STRUCTURE BOIS,0,NON,0,NON,0,TUILE PLATE,2
HAB_T_P1_TBR_TR,STRUCTURE BOIS,0,NON,0,NON,0,TUILE ROMAINE,2
HAB_T_P1_TBR_TU,STRUCTURE BOIS,0,NON,0,NON,0,TUILE,2
HAB_T_P1_TPI_AR,STRUCTURE BOIS,0,NON,0,NON,0,ARDOISE,2
HAB_T_P1_TPI_LA,STRUCTURE BOIS,0,NON,0,NON,0,LAUZE,2
HAB_T_P2_TBR_TC,STRUCTURE BOIS,0,NON,0,NON,0,TUILE CANAL,2
HAB_T_P2_TN_GR,DALLE BETON,20,NON,0,NON,0,GRAVIER,5
HAB_T_P2_TN_TM,STRUCTURE BOIS,0,NON,0,NON,0,TUILE MECANIQUE,2
HAB_T_P2_TPI_AR,STRUCTURE BOIS,0,NON,0,NON,0,ARDOISE,2
HAB_T_P3_TBR_TC,STRUCTURE BOIS,0,NON,0,NON,0,TUILE CANAL,2
HAB_T_P3_TN_GR,DALLE BETON,20,NON,0,NON,0,GRAVIER,5
HAB_T_P3_TN_TU,STRUCTURE BOIS,0,NON,0,NON,0,TUILE,2
HAB_T_P3_TPI_AR,STRUCTURE BOIS,0,NON,0,NON,0,ARDOISE,2
HAB_T_P4_TBR_TC,STRUCTURE BOIS,0,ITI_LM,12,PLAQUE DE PLATRE,1.3,TUILE CANAL,2
HAB_T_P4_TN_GR,DALLE BETON,20,ITI_LM,12,PLAQUE DE PLATRE,1.3,GRAVIER,5
HAB_T_P4_TN_TU,STRUCTURE BOIS,0,ITI_LM,12,PLAQUE DE PLATRE,1.3,TUILE,2
HAB_T_P4_TPI_AR,STRUCTURE BOIS,0,ITI_LM,12,PLAQUE DE PLATRE,1.3,ARDOISE,2
HAB_T_P5_TBR_TC,STRUCTURE BOIS,0,ITI_LM,15,PLAQUE DE PLATRE,1.3,TUILE CANAL,2
HAB_T_P5_TN_GR,DALLE BETON,20,ITI_LM,15,PLAQUE DE PLATRE,1.3,GRAVIER,5
HAB_T_P5_TN_TU,STRUCTURE BOIS,0,ITI_LM,15,PLAQUE DE PLATRE,1.3,TUILE,2
HAB_T_P5_TPI_AR,STRUCTURE BOIS,0,ITI_LM,15,PLAQUE DE PLATRE,1.3,ARDOISE,2
HAB_T_P6_TBR_TC,STRUCTURE BOIS,0,ITI_LM,20,PLAQUE DE PLATRE,1.3,TUILE CANAL,2
HAB_T_P6_TN_GR,DALLE BETON,20,ITI_LM,20,PLAQUE DE PLATRE,1.3,GRAVIER,5
HAB_T_P6_TN_TU,STRUCTURE BOIS,0,ITI_LM,20,PLAQUE DE PLATRE,1.3,TUILE,2
HAB_T_P6_TPI_AR,STRUCTURE BOIS,0,ITI_LM,20,PLAQUE DE PLATRE,1.3,ARDOISE,2
HAB_T_P7_TBR_TC,STRUCTURE BOIS,0,ITI_LM,30,PLAQUE DE PLATRE,1.3,TUILE,2
HAB_T_P7_TN,DALLE BETON,20,ITE_POL,30,NON,0,GRAVIER,10
HAB_T_P7_TPI_AR,STRUCTURE BOIS,0,ITI_LM,30,PLAQUE DE PLATRE,1.3,ARDOISE,2
SER_T_P1_TN,STRUCTURE METAL,0,NON,0,NON,0,SIMPLE VITRAGE,2
SER_T_P2_TN,STRUCTURE METAL,0,NON,0,NON,0,SIMPLE VITRAGE,2
SER_T_P3_TN,STRUCTURE METAL,0,NON,0,NON,0,SIMPLE VITRAGE,2
SER_T_P4_TN,STRUCTURE METAL,0,NON,0,NON,0,SIMPLE VITRAGE,2
SER_T_P5_TN,STRUCTURE METAL,0,NON,0,NON,0,DOUBLE VITRAGE,3
SER_T_P6_TN,STRUCTURE METAL,0,NON,0,NON,0,DOUBLE VITRAGE,3
SER_T_P7_TN,STRUCTURE METAL,0,NON,0,NON,0,DOUBLE VITRAGE,3
TER_T_P1_TN,STRUCTURE BOIS,0,NON,0,NON,0,TOLE,0.8
TER_T_P2_TN_BAC,STRUCTURE METAL,0,NON,0,NON,0,TOLE,0.8
TER_T_P3_TN_BAC,STRUCTURE METAL,0,NON,0,NON,0,TOLE,0.8
TER_T_P4_TN_BAC,STRUCTURE METAL,0,ITI_LM,5,NON,0,TOLE,0.8
TER_T_P5_TN_BAC,STRUCTURE METAL,0,ITI_LM,9,NON,0,TOLE,0.8
TER_T_P6_TN_BAC,STRUCTURE METAL,0,ITI_LM,11,NON,0,TOLE,0.8
TER_T_P7_TN_BAC,STRUCTURE METAL,0,ITI_LM,14,NON,0,TOLE,0.8
